classe_obf	typedef_index	nom_clair	score	methode	statut	provenances_daccord	nb_candidats_a_egalite	chemin_de_preuve
		AchievementsPioneerRanksResponse			À_CLASSER		12	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AcquaintanceAddedEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AcquaintanceInformation			À_CLASSER		3	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AcquaintanceListEvent			À_CLASSER		12	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AcquaintanceListRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AcquaintanceServersResponse			À_CLASSER		4	0 ou plusieurs candidats de même round-0 dans Connection, aucun retenu
		ActionInformation			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ActivateGlyphTrap			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ActivityHideRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ActivityLockRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ActivitySuggestionsEvent			À_CLASSER		9	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ActivitySuggestionsRequest			À_CLASSER		11	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ActorInformation			À_CLASSER		3	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ActorPositionInformation			À_CLASSER		14	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AddTagObjectRequest			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AddTagObjectResponse			À_CLASSER		23	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AddTagStorageResponse			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AdditionalSmileyEvent			À_CLASSER		23	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AggressionEvent			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AlignmentExtendedInformation			À_CLASSER		4	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AlignmentInformation			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AlignmentRankUpdateEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceApplicationAnswerRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceApplicationDeletedEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceApplicationDeletionRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceApplicationInformationEvent			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceApplicationNoInformationEvent			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceApplicationPresenceEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceApplicationPresenceRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceApplicationReceivedEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceApplicationRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceApplicationResponseEvent			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceApplicationSubmitRequest			À_CLASSER		9	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceApplicationUpdateRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceBulletinEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceBulletinSetRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceCardInformation			À_CLASSER		2	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceCreationStartedEvent			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceCreationValidRequest			À_CLASSER		34	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceEmblemModificationValidRequest			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFactsErrorEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFactsEvent			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFactsRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFightFighterAddedEvent			À_CLASSER		27	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFightFighterRemovedEvent			À_CLASSER		58	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFightFinishedEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFightJoinRequest			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFightLeaveRequest			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFightListenStartRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFightListenStopRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFightPhaseUpdateEvent			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFightReplaceRequest			À_CLASSER		58	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFightStartedEvent			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceFightsInformationEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
hts		AllianceInformation	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f4 (htu.f4=hts <-> TaxCollectorStaticInformation.f4=AllianceInformation)
jdf	11602	AllianceInsiderInformationEvent		arrosage	DÉDUIT	arrosage	1	arrosage score=0.75
		AllianceInsiderInformationRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceInvitationAnswerRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceInvitationRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceInvitationStateRecruitedEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceInvitationStateRecruiterEvent			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceInvitedEvent			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceJoinedEvent			À_CLASSER		58	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceKickRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceLeftEvent			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceMemberInformation			À_CLASSER		58	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceMemberLeavingEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceMemberStartWarningOnConnectionRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceMemberStopWarningOnConnectionRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceMembershipEvent			À_CLASSER		58	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceModificationStartedEvent			À_CLASSER		25	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceModificationValidRequest			À_CLASSER		5	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceMotdEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceMotdSetRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceNameAndTagModificationValidRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceOption			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceRankChangeRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceRankCreationRequest			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceRankDeletionRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceRanksRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceRecruitmentAutomaticJoinRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceRecruitmentInformation			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceRecruitmentInformationEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceRecruitmentInformationRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceRecruitmentInvalidateEvent			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceRecruitmentUpdateRequest			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceRightsUpdateRequest			À_CLASSER		14	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AllianceSummaryRequest			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AlmanachCalendarDateEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AlreadyConnectedEvent			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Connection, aucun retenu
lpk	14299	Alteration	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py)
		AlterationAddedEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
lbk		AlterationExpirationType	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f3 (lpk.f3=lbk <-> Alteration.f3=AlterationExpirationType)
		AlterationRemovedEvent			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AlterationsEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AlterationsUpdateEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
hxd	10239	Anomaly	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f2 (ibg.f2=hwr <-> TeleportDestinationsEvent.f2=TeleportDestination) -> arrastre champ f6 (hwr.f6=hxd <-> TeleportDestination.f6=Anomaly)
		AnomalyOpenedEvent			À_CLASSER		14	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AnomalyStateEvent			À_CLASSER		25	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AnomalySubareaInformation			À_CLASSER		25	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AnomalySubareaInformationEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AnomalySubareaInformationRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
lxw	14660	AppearanceAuraRequestMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lxw
lwx	14618	AppearanceAuraResultMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lwx
lys	14698	AppearanceItemWearRequestMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lys
lwz	14622	AppearanceItemWornMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lwz
lyk	14684	AppearanceOpenRequestMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lyk
lxc	14628	AppearancePreviewLookMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lxc
lxs	14653	AppearanceSaveRequestMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lxs
lyu	14702	AppearanceSaveResultMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lyu
lyf	14675	AppearanceSlotSetRequestMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lyf
lyj	14682	AppearanceSlotSetResultMessage			À_CLASSER		0	nom clair EN CONFLIT avec lya (v2, retenu) — autres revendicants : lyj(jondo-anclas)
lya	14666	AppearanceSlotSetResultMessage	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py)
lxg	14634	AppearanceSlotVisibilityRequestMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lxg
lxk	14640	AppearanceSlotVisibilityResultMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lxk
lxo	14646	AppearanceStateMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lxo
lyy	14708	AppearanceStateRequestMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lyy
		ApplicationInformation			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ApplySpellModifierEvent			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AreaFightModifierUpdateEvent			À_CLASSER		23	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ArenaFightAnswerResponse			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ArenaFightPropositionEvent			À_CLASSER		5	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ArenaFighterIdleEvent			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ArenaFighterStatusEvent			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ArenaLeagueRewardsEvent			À_CLASSER		25	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
lsy	14448	ArenaPlayerBehavioursEvent	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py)
		ArenaRank			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ArenaRegisterRequest			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ArenaRegistrationStatusEvent			À_CLASSER		14	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ArenaRegistrationWarningEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ArenaSwitchXpRewardsModeRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ArenaUnregisterRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ArenaUpdatePlayerInformationEvent			À_CLASSER		6	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AttackMonsterRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AttackableStatus			À_CLASSER		11	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AuthenticationTicketAcceptedEvent			À_CLASSER		5	0 ou plusieurs candidats de même round-0 dans Connection, aucun retenu
kra	13306	AuthenticationTicketAcceptedMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kra
kqz	13304	AuthenticationTicketMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kqz
		AuthenticationTicketRefusedEvent			À_CLASSER		5	0 ou plusieurs candidats de même round-0 dans Connection, aucun retenu
		AutoFollowActivationRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AutoFollowDeactivationRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BakActionRequest			À_CLASSER		4	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BakApiTokenRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BakBufferListEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BakBufferListRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BakCancelBidRequest			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BakConsumeBufferRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BakShopTokenRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BakTransactionValidationEvent			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BakTransactionValidationRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BasicAllianceInformation			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BasicLatencyStatsEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BasicLatencyStatsRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
kqo	13283	BasicPingMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kqo
kqy	13302	BasicPongMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=kqy
lqu	14359	BasicTimeMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=lqu
		BidActivitiesRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BidExchangerObject			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BidPriceForSeller			À_CLASSER		14	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BlockEvent			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BlockListEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BlockListRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BlockRequest			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BreachBranch			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BreachBranchesEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
htl	10096	BreachCharactersEvent	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py)
		BreachExitRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BreachInvitationAnswerRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BreachInvitationOfferEvent			À_CLASSER		58	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BreachKickRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
kid		BreachReward	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f1 (kif.f1=kid <-> ExtendedBreachBranch.f1=BreachReward)
		BreachRewardBoughtEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BreachRewardBuyRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BreachRewardsEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BreachRoomLockedEvent			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BreachRoomUnlockRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BreachRoomUnlockResultEvent			À_CLASSER		48	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BreachTeleportRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BreachTeleportResultEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		BufferInformation			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CanCreateCharacterRequest			À_CLASSER		23	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CarryCharacter			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
maz	14796	Challenge	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py)
		ChallengeAddEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChallengeBonusChoiceRequest			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChallengeBonusChoiceSelectedEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChallengeListEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChallengeModSelectRequest			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChallengeModSelectedEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChallengeNumberEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChallengeProposalEvent			À_CLASSER		6	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChallengeReadyRequest			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChallengeResultEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChallengeSelectedEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChallengeSelectionRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
maw		ChallengeState	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f5 (maz.f5=maw <-> Challenge.f5=ChallengeState)
lpo	14305	ChallengeTarget	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py)
		ChallengeTargetsEvent			À_CLASSER		27	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChallengeTargetsRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChallengeValidateRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChangeAppearanceDialogLeave			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		ChangeLook			À_CLASSER		2	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
jqk	12161	ChangeMapMessage	1.0	jondo-anclas	DÉDUIT	jondo-anclas	1	graine directe : anclas Jondo (242 captures), opcode=jqk
lpg	14292	Channel	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f1 (lgz.f1=lpg <-> ChatChannelsEnabledEvent.f1=Channel) [nom réutilisé par 2 occurrences distinctes : hee]
hee		Channel	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f2 (heg.f2=hee <-> ChatChannelMessageRequest.f2=Channel) [nom réutilisé par 2 occurrences distinctes : lpg]
		ChannelUpdateEvent			À_CLASSER		58	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
ifj	10580	Character	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f5 (ifh.f5=ifj <-> PartyJoinEvent.f5=Character) [nom réutilisé par 2 occurrences distinctes : hjg]
hjg	9672	Character	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f3 (hjj.f3=hjg <-> GuildCardEvent.f3=Character) [nom réutilisé par 2 occurrences distinctes : ifj]
		CharacterAppearancesRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		CharacterBaseInformation			À_CLASSER		3	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
hik		CharacterBasicInformation	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f3 (hjj.f3=hjg <-> GuildCardEvent.f3=Character) -> arrastre champ f3 (hjg.f3=hik <-> Character.f3=CharacterBasicInformation)
		CharacterCapabilitiesEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
