classe_obf	typedef_index	nom_clair	score	methode	statut	provenances_daccord	nb_candidats_a_egalite	comment_verifier
		AchievementPioneerRank			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AchievementRewardRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AchievementRewardResultEvent			À_CLASSER		66	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AchievementsAlmostFinishedDetailedEvent			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AchievementsAlmostFinishedDetailedRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AchievementsDetailedEvent			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AchievementsDetailedRequest			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AchievementsEvent			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AchievementsPioneerRanksRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AchievementsPioneerRanksResponse			À_CLASSER		12	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AcquaintanceAddedEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AcquaintanceInformation			À_CLASSER		3	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AcquaintanceListEvent			À_CLASSER		12	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AcquaintanceListRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AcquaintanceServersRequest			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AcquaintanceServersResponse			À_CLASSER		4	0 ou plusieurs candidats de même round-0 dans Connection, aucun retenu sans ambiguïté
		ActionInformation			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ActivateGlyphTrap			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ActivityHideRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ActivityLockRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ActivitySuggestionsEvent			À_CLASSER		11	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ActivitySuggestionsRequest			À_CLASSER		12	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ActorInformation			À_CLASSER		4	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ActorPositionInformation			À_CLASSER		19	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AddContactFailureEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AddTagObjectRequest			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AddTagObjectResponse			À_CLASSER		26	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AddTagStorageRequest			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AddTagStorageResponse			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AdditionalSmileyEvent			À_CLASSER		26	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AggressionEvent			À_CLASSER		66	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AlignmentExtendedInformation			À_CLASSER		4	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AlignmentInformation			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AlignmentRankUpdateEvent			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceApplicationAnswerRequest			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceApplicationDeletedEvent			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceApplicationDeletionRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceApplicationInformationEvent			À_CLASSER		86	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceApplicationListEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceApplicationListRequest			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceApplicationListenRequest			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceApplicationModifiedEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceApplicationNoInformationEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceApplicationPresenceEvent			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceApplicationPresenceRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceApplicationReceivedEvent			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceApplicationRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceApplicationResponseEvent			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceApplicationSubmitRequest			À_CLASSER		10	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceApplicationUpdateRequest			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceBulletinEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceBulletinSetErrorEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceBulletinSetRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceCardInformation			À_CLASSER		2	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceCreationResultEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceCreationStartedEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceCreationValidRequest			À_CLASSER		37	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceEmblemModificationValidRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFactsErrorEvent			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFactsEvent			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFactsRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFightFighterAddedEvent			À_CLASSER		32	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFightFighterRemovedEvent			À_CLASSER		61	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFightFinishedEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFightJoinRequest			À_CLASSER		86	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFightLeaveRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFightListenStartRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFightListenStopRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFightPhaseUpdateEvent			À_CLASSER		86	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFightReplaceRequest			À_CLASSER		61	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFightStartedEvent			À_CLASSER		86	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceFightsInformationEvent			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceInformation			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceInsiderInformationEvent			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceInsiderInformationRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceInvitationAnswerRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceInvitationRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceInvitationStateRecruitedEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceInvitationStateRecruiterEvent			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceInvitedEvent			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceJoinedEvent			À_CLASSER		61	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceKickRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceLeftEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceMemberInformation			À_CLASSER		61	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceMemberLeavingEvent			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceMemberStartWarningOnConnectionRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceMemberStopWarningOnConnectionRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceMemberUpdateEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceMembershipEvent			À_CLASSER		61	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceModificationResultEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceModificationStartedEvent			À_CLASSER		25	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceModificationValidRequest			À_CLASSER		5	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceMotdEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceMotdSetErrorEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceMotdSetRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceNameAndTagModificationValidRequest			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceOption			À_CLASSER		86	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceRankChangeRequest			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceRankCreationRequest			À_CLASSER		66	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceRankDeletionRequest			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceRankUpdateAllRequest			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceRankUpdateRequest			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceRanksEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceRanksRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceRecruitmentAutomaticJoinRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceRecruitmentInformation			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceRecruitmentInformationEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceRecruitmentInformationRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceRecruitmentInvalidateEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceRecruitmentUpdateRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceRightsUpdateRequest			À_CLASSER		15	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AllianceSummaryEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AllianceSummaryRequest			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AlmanachCalendarDateEvent			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AlreadyConnectedEvent			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Connection, aucun retenu sans ambiguïté
lpk	14299	Alteration	0.8	arrosage	DÉDUIT	gatherer,luaxy,otomai	1	forme/champs arrosage — comparer contre une capture réelle du client vivant
		AlterationAddedEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AlterationRemovedEvent			À_CLASSER		86	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AlterationsEvent			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AlterationsUpdateEvent			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		Anomaly			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AnomalyOpenedEvent			À_CLASSER		15	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AnomalyStateEvent			À_CLASSER		25	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AnomalySubareaInformation			À_CLASSER		25	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AnomalySubareaInformationEvent			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AnomalySubareaInformationRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AppearanceAuraRequestMessage			À_CLASSER		86	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AppearanceAuraResultMessage			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AppearanceItemWearRequestMessage			À_CLASSER		86	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AppearanceItemWornMessage			À_CLASSER		32	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AppearanceOpenRequestMessage			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AppearancePreviewLookMessage			À_CLASSER		32	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AppearanceSaveRequestMessage			À_CLASSER		32	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AppearanceSaveResultMessage			À_CLASSER		86	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AppearanceSlotSetRequestMessage			À_CLASSER		32	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
lya	14666	AppearanceSlotSetResultMessage	1.0	graine	DÉDUIT	jondo-proto	1	forme/champs graine — comparer contre une capture réelle du client vivant
		AppearanceSlotVisibilityRequestMessage			À_CLASSER		32	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AppearanceSlotVisibilityResultMessage			À_CLASSER		86	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AppearanceStateMessage			À_CLASSER		32	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AppearanceStateRequestMessage			À_CLASSER		86	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ApplicationInformation			À_CLASSER		86	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ApplySpellModifierEvent			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AreaFightModifierUpdateEvent			À_CLASSER		26	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ArenaFightAnswerRequest			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		ArenaFightAnswerResponse			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ArenaFightPropositionEvent			À_CLASSER		7	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ArenaFighterIdleEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ArenaFighterStatusEvent			À_CLASSER		66	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ArenaLeagueRewardsEvent			À_CLASSER		25	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
lsy	14448	ArenaPlayerBehavioursEvent	1.0	graine	DÉDUIT	gatherer,luaxy,otomai	1	forme/champs graine — comparer contre une capture réelle du client vivant
		ArenaRank			À_CLASSER		0	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ArenaRegisterRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ArenaRegistrationStatusEvent			À_CLASSER		19	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ArenaRegistrationWarningEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ArenaSwitchToFightServerEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		ArenaSwitchXpRewardsModeRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ArenaUnregisterRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		ArenaUpdatePlayerInformationEvent			À_CLASSER		7	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AttackMonsterRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AttackableStatus			À_CLASSER		11	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AuthenticationTicketAcceptedEvent			À_CLASSER		5	0 ou plusieurs candidats de même round-0 dans Connection, aucun retenu sans ambiguïté
		AuthenticationTicketAcceptedMessage			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AuthenticationTicketMessage			À_CLASSER		32	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AuthenticationTicketRefusedEvent			À_CLASSER		5	0 ou plusieurs candidats de même round-0 dans Connection, aucun retenu sans ambiguïté
		AutoFollowActivatedEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AutoFollowActivationRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AutoFollowActivationResponse			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AutoFollowDeactivatedEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		AutoFollowDeactivationRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		AutoFollowDeactivationResponse			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		BakActionEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		BakActionRequest			À_CLASSER		4	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		BakApiKeyEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		BakApiTokenRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		BakBufferListEvent			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		BakBufferListRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		BakBuyValidationEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		BakCancelBidRequest			À_CLASSER		51	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		BakConsumeBufferRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		BakShopTokenEvent			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		BakShopTokenRequest			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		BakTransactionValidationEvent			À_CLASSER		86	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		BakTransactionValidationRequest			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		BaseStatistics			À_CLASSER		0	nom clair SUSPECT (champs internes encore obfusqués, ex. `ebko` — otomai n'a pas fini de le renommer) — écarté du matching, pas un vrai candidat
		BasicAllianceInformation			À_CLASSER		158	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		BasicLatencyStatsEvent			À_CLASSER		115	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		BasicLatencyStatsRequest			À_CLASSER		190	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
		BasicPingMessage			À_CLASSER		11	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu sans ambiguïté
